Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2019,45.8,50.2,55,66,73.4,79.9,84.6,87.4,85.5,65.5,53.5,,
2018,45.8,51.1,63.3,61.6,79,85.7,88.8,85.2,78.1,66.2,52.5,48.4,67.1
2017,51.2,60.6,65.7,69.3,75.4,82.5,86.6,84.4,80.6,69.6,62.4,49.7,69.8
2016,47,55.2,61.2,68.1,72.5,84,87.4,85.8,81.5,74.1,63.5,49.7,69.2
2015,44.5,45.7,56.1,65.8,70.9,82.1,87.1,87.3,82.7,71.2,58.7,53.7,67.2
2014,45.3,47,55.1,66.3,74.4,82.4,83.8,86.2,80.3,71.6,51.5,50.1,66.2
2013,49.1,52,56.4,63,72.3,82.6,84.5,87.1,82.4,68.2,53.5,43.1,66.2
2012,50.4,52.5,64.3,70.3,77.9,84.3,87.7,86.5,80,67,59.7,51.2,69.3
2011,42.8,49.5,61.3,70.8,72.8,86.8,91.4,93.4,80,68.2,57.9,47.6,68.5
2010,44.3,41.7,55.8,66.7,76.9,86.5,85.9,89.8,79.8,68.8,58.5,49.3,67
2009,48.1,55.8,58.9,64.8,73.3,83.8,86.6,85.3,76.2,62.7,59.5,42.7,66.5
2008,46.9,54,61,66.5,77,86.5,89,86.7,78.5,69.6,59.7,49,68.7
2007,42.3,49.4,63.9,62.4,74.6,81.4,83.8,87.8,81.6,72.1,61.3,49.8,67.5
2006,55.1,49.4,62.2,72,78,83.7,87.7,89.8,77.6,68.1,57.5,50,69.3
2005,49.5,52.6,56.7,65.5,73.5,83.6,85.1,86.8,83.7,68.8,60.8,48.1,67.9
2004,48.5,45.8,61.8,66.2,74.4,79.4,83.5,81.5,78.4,72.1,57.1,48.9,66.5
2003,43.7,45.6,56.2,66.9,75.5,79,86.3,86.7,74.5,68.7,59.4,49.6,66
2002,47.6,47,54.8,68.4,72,80.1,83.2,84.7,79.6,64.9,53.8,47.7,65.3
2001,42.7,50.2,51.8,67.8,74.2,80.3,86.7,84.9,74.7,65,59.7,49.5,65.6
2000,50.6,57.3,61,65.3,76.6,80.7,87.3,90.2,80.4,69.7,49.8,39.4,67.4
1999,48.6,55.5,56.4,67.9,73.8,82.1,86.1,90.2,79,69.2,62.9,51.5,68.6
1998,48.4,51.1,54.9,63.8,78.5,85.5,91.6,87.8,83.6,69.5,57.6,47,68.3
1997,44,49.5,58.3,60.4,70.1,78.8,84.9,83.1,80.2,67.2,52.1,45.6,64.5
1996,43.1,52.1,53.3,64.2,79.7,82.5,86.1,82.5,74.5,66.9,54.9,49.2,65.8
1995,48.1,52.5,56.9,64.2,73.2,79.9,85.5,85.5,76.6,67.8,54.8,47.4,66
1994,45.7,48.6,59,65.9,71.5,84.1,83.9,84,76.3,67.3,57.9,49,66.1
1993,45.1,49,56.1,63.3,71.9,81.7,87.3,87.5,78.2,63.8,51.6,49.5,65.4
1992,46.9,54.4,59,66,71.1,79.4,84.3,80.2,77.7,69.5,52.7,49.9,65.9
1991,42.8,53.7,59.8,67.4,75.4,81,85,82.5,75.2,68.1,51.7,50.3,66.1
1990,51.8,53.9,57.7,64,73.4,84,82.5,84.6,80,66.4,59.8,44,66.8